Player,Nation,Pos_primary,Squad,Age_num,League,Season,90s,Gls,Ast,Gls_p90,Sh,SoT,SoT%,Sh_p90,SoT_p90,G/Sh,G/SoT,PK,PKatt,PrgP_proxy,Market_Value_M,Peak_Value_M,Value_Ratio,norm_gls_p90,norm_sot_pct,norm_ast,norm_prgp,Perf_Score,Value_Score,Value_Score_norm,Age_bonus,Final_Score,Defense_Hardness,Scoring_Context_Bonus,norm_context
Pierre-Emerick Aubameyang,GAB,FW,Marseille,36,Ligue 1,2025-26,13.6,6,5,0.4411764705882353,31,19,61.3,2.27,1.39,0.19,0.32,0,0,0.0,4,4,1.0,0.32692876145433053,0.7258347978910368,0.7142857142857143,0.0,0.415,10.375,100.0,1.0,100.0,0.5856004738719067,0.07750594507128176,0.2454354927257256
Ansu Fati,ESP,MF,Monaco,23,Ligue 1,2025-26,6.4,8,0,1.25,24,14,58.3,3.74,2.18,0.21,0.36,3,4,0.0,6,6,1.0,1.0,0.6731107205623901,0.0,0.0,0.479,7.983,76.5,1.2,91.8,0.4092261289955437,0.15345979837332888,0.4859560281822081
Adrien Thomasson,FRA,MF,Lens,32,Ligue 1,2025-26,21.3,2,6,0.0938967136150234,28,8,28.6,1.31,0.38,0.07,0.25,0,0,6.0,5,5,1.0,0.03793615967159741,0.15114235500878737,0.8571428571428571,0.8571428571428571,0.389,7.78,74.5,1.0,74.5,0.6855738961417018,0.019311940736385952,0.061154478998555514
Gauthier Hein,FRA,MF,Metz,29,Ligue 1,2025-26,17.7,6,4,0.3389830508474576,27,9,33.3,1.52,0.51,0.07,0.22,4,4,4.0,5,5,1.0,0.24188740311728135,0.23374340949033384,0.5714285714285714,0.5714285714285714,0.343,6.86,65.4,1.0,65.4,0.0,0.0,0.0
Afonso Moreira,POR,MF,Lyon,20,Ligue 1,2025-26,11.2,2,6,0.1785714285714285,23,8,34.8,2.05,0.71,0.09,0.25,0,0,6.0,8,8,1.0,0.1083991385498923,0.2601054481546572,0.8571428571428571,0.8571428571428571,0.437,5.462,51.6,1.2,61.9,0.7249947327339334,0.038839003539317844,0.12299017787450651
Florian Thauvin,FRA,MF,Lens,33,Ligue 1,2025-26,20.3,7,3,0.3448275862068965,52,20,38.5,2.56,0.99,0.1,0.25,2,3,3.0,6,6,1.0,0.24675099636111594,0.3251318101933216,0.42857142857142855,0.42857142857142855,0.331,5.517,52.2,1.0,52.2,0.6855738961417018,0.07092143753190018,0.22458455218435058
Remy Labeau Lascary,GLP,MF,Brest,22,Ligue 1,2025-26,8.1,4,1,0.4938271604938272,21,11,52.4,2.59,1.35,0.19,0.36,0,0,0.0,6,6,1.0,0.3707426018983809,0.5694200351493848,0.14285714285714285,0.0,0.264,4.4,41.2,1.2,49.4,0.3328354955638619,0.04930896230575732,0.15614504730156487
Martial Godo,ENG,MF,Strasbourg,22,Ligue 1,2025-26,9.9,7,1,0.7070707070707071,24,13,54.2,2.44,1.32,0.29,0.54,0,0,0.0,8,8,1.0,0.5481955230698949,0.6010544815465729,0.14285714285714285,0.0,0.347,4.337,40.6,1.2,48.7,0.5293894451111303,0.11229473078114884,0.3555999808069713
Wesley Said,FRA,MF,Lens,30,Ligue 1,2025-26,17.0,10,2,0.5882352941176471,41,20,48.8,2.41,1.17,0.22,0.45,1,1,2.0,8,8,1.0,0.44930535028081586,0.5061511423550087,0.2857142857142857,0.2857142857142857,0.386,4.825,45.4,1.0,45.4,0.6855738961417018,0.12098362873088857,0.38311482431448046
Romain Del Castillo,FRA,MF,Brest,29,Ligue 1,2025-26,19.1,7,2,0.3664921465968586,22,10,45.5,1.15,0.52,0.05,0.1,6,8,2.0,6,6,1.0,0.2647793943539688,0.4481546572934973,0.2857142857142857,0.2857142857142857,0.288,4.8,45.1,1.0,45.1,0.3328354955638619,0.03659447856984868,0.1158825154711875
Pablo Pagis,FRA,MF,Lorient,23,Ligue 1,2025-26,13.2,8,0,0.6060606060606061,40,15,37.5,3.03,1.14,0.18,0.47,1,1,0.0,6,6,1.0,0.4641388761991777,0.3075571177504393,0.0,0.0,0.223,3.717,34.5,1.2,41.4,0.41300098981862404,0.07509108905793165,0.23778844868345023
Lassine Sinayoko,MLI,FW,Auxerre,26,Ligue 1,2025-26,21.0,6,3,0.2857142857142857,57,23,40.4,2.72,1.1,0.05,0.13,3,4,3.0,7,7,1.0,0.1975592246949031,0.35852372583479786,0.42857142857142855,0.42857142857142855,0.305,4.357,40.8,1.0,40.8,0.31377282040055277,0.026894813177190235,0.08516690839443575
Issa Soumare,SEN,FW,Le Havre,25,Ligue 1,2025-26,21.8,6,2,0.2752293577981651,50,18,36.0,2.3,0.83,0.1,0.28,1,3,2.0,6,6,1.0,0.1888340786501314,0.28119507908611596,0.2857142857142857,0.2857142857142857,0.238,3.967,36.9,1.1,40.6,0.5133750567289701,0.0423887661519333,0.13423109281445547
Musa Al-Taamari,JOR,MF,Rennes,28,Ligue 1,2025-26,15.9,3,4,0.1886792452830188,35,15,42.9,2.21,0.95,0.09,0.2,0,0,4.0,8,8,1.0,0.1168104674314971,0.40246045694200344,0.5714285714285714,0.5714285714285714,0.345,4.312,40.3,1.0,40.3,0.4172230340117381,0.023616398151607806,0.07478526081342472
